pageA,pageB,rawSimilarity,band,actionHint
/등기신청대행,/등기준비서류,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기신청대행,/등기얼마나걸리나요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기신청대행,/등기어디서하나요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/전자등기,/부동산등기실수모음,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/전자등기,/법무사협업,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/전자신청,/등기언제끝나나요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/전자신청,/등기실무,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/전자신청,/특수등기의뢰,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기소제출,/등기소어디인가요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기소제출,/법무사협업,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기보정,/등기언제끝나나요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기보정,/등기실무,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기보정,/특수등기의뢰,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기완료기간,/등기소어디인가요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기완료기간,/법무사협업,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기접수,/등기소어디인가요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기처리기간,/등기소어디인가요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기처리기간,/부동산등기실수모음,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기처리기간,/법무사협업,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기준비서류,/등기소어디인가요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기준비서류,/부동산등기실수모음,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기준비서류,/법무사협업,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기얼마나걸리나요,/등기소어디인가요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기얼마나걸리나요,/법무사협업,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기어디서하나요,/등기소어디인가요,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/등기어디서하나요,/법무사협업,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/부동산등기체크리스트,/법무사협업,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/아파트집단등기,/국민주택채권,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
