query,rank,url,score,expected_owner,pass
영도구 법무사,3,/업무사례/영도구법무사,27,/영도구법무사,true
영도구 법무사,4,/,24,/영도구법무사,true
영도구 법무사,5,/부산법무사비용,24,/영도구법무사,true
부산진구 법무사,1,/부산진구법무사,206,/부산진구법무사,true
부산진구 법무사,2,/부전동법무사,33,/부산진구법무사,true
부산진구 법무사,3,/업무사례/부산진구법무사,27,/부산진구법무사,true
부산진구 법무사,4,/,24,/부산진구법무사,true
부산진구 법무사,5,/부산법무사비용,24,/부산진구법무사,true
동래구 법무사,1,/동래구법무사,209,/동래구법무사,true
동래구 법무사,2,/동래구상속등기,33,/동래구법무사,true
동래구 법무사,3,/동래구법인등기,33,/동래구법무사,true
동래구 법무사,4,/동래구한정승인,33,/동래구법무사,true
동래구 법무사,5,/동래구임원변경등기,33,/동래구법무사,true
부산 남구 법무사,1,/남구법무사,62,/남구법무사,true
부산 남구 법무사,2,/업무사례/강남구상속등기법무사,51,/남구법무사,true
부산 남구 법무사,3,/부산법무사비용,48,/남구법무사,true
부산 남구 법무사,4,/부산법무사보수표,48,/남구법무사,true
부산 남구 법무사,5,/남부산등기소법무사,48,/남구법무사,true
부산 북구 법무사,1,/업무사례/대구북구상속등기법무사,63,/북구법무사,false
부산 북구 법무사,2,/북구법무사,59,/북구법무사,false
부산 북구 법무사,3,/업무사례/울산송정동상속등기,57,/북구법무사,false
부산 북구 법무사,4,/부산법무사비용,48,/북구법무사,false
부산 북구 법무사,5,/부산법무사보수표,48,/북구법무사,false
해운대구 법무사,1,/해운대구상속등기,33,/해운대법무사,false
해운대구 법무사,2,/해운대구상속포기,33,/해운대법무사,false
해운대구 법무사,3,/해운대구한정승인,33,/해운대법무사,false
해운대구 법무사,4,/해운대구법인등기,33,/해운대법무사,false
해운대구 법무사,5,/해운대구부동산등기,33,/해운대법무사,false
해운대 법무사,1,/해운대법무사,212,/해운대법무사,true
해운대 법무사,2,/해운대역법무사,48,/해운대법무사,true
해운대 법무사,3,/업무사례/장유상속등기법무사,42,/해운대법무사,true
해운대 법무사,4,/해운대재개발상속등기,39,/해운대법무사,true
해운대 법무사,5,/중동법무사,39,/해운대법무사,true
사하구 법무사,1,/사하구법무사,209,/사하구법무사,true
사하구 법무사,2,/사하구부동산등기,116,/사하구법무사,true
사하구 법무사,3,/하단법무사,110,/사하구법무사,true
사하구 법무사,4,/업무사례/사하구법무사,27,/사하구법무사,true
사하구 법무사,5,/,24,/사하구법무사,true
금정구 법무사,1,/금정구법무사,209,/금정구법무사,true
금정구 법무사,2,/금정구상속등기,33,/금정구법무사,true
금정구 법무사,3,/금정구한정승인,33,/금정구법무사,true
금정구 법무사,4,/금정구부동산등기,33,/금정구법무사,true
금정구 법무사,5,/업무사례/금정구법무사,27,/금정구법무사,true
강서구 법무사,1,/강서구법무사,209,/강서구법무사,true
강서구 법무사,2,/명지법무사,110,/강서구법무사,true
강서구 법무사,3,/업무사례/강서구상속등기법무사,39,/강서구법무사,true
강서구 법무사,4,/서구법무사,38,/강서구법무사,true
강서구 법무사,5,/명지역법무사,27,/강서구법무사,true
연제구 법무사,1,/연제구법무사,212,/연제구법무사,true
연제구 법무사,2,/업무사례/연제구법무사,36,/연제구법무사,true
연제구 법무사,3,/연제구상속등기,33,/연제구법무사,true
연제구 법무사,4,/연제구상속포기,33,/연제구법무사,true
연제구 법무사,5,/연제구법인등기,33,/연제구법무사,true
수영구 법무사,1,/수영구법무사,206,/수영구법무사,true
수영구 법무사,2,/수영구상속등기,33,/수영구법무사,true
수영구 법무사,3,/수영구부동산등기,33,/수영구법무사,true
수영구 법무사,4,/수영구법인등기,33,/수영구법무사,true
수영구 법무사,5,/수영구상속포기,33,/수영구법무사,true
사상구 법무사,1,/사상구법무사,206,/사상구법무사,true
사상구 법무사,2,/사상역법무사,36,/사상구법무사,true
사상구 법무사,3,/사상구상속등기,33,/사상구법무사,true
